tranche,hommes,femmes,pct_hommes,pct_femmes
00-04 ans,1198233,1158237,15.27,15.39
05-09 ans,1208509,1139774,15.4,15.15
10-14 ans,977769,919475,12.46,12.22
15-19 ans,845454,878093,10.77,11.67
20-24 ans,774748,771014,9.87,10.25
25-29 ans,646739,628853,8.24,8.36
30-34 ans,533006,518602,6.79,6.89
35-39 ans,423131,406390,5.39,5.4
40-44 ans,335116,302479,4.27,4.02
45-49 ans,255046,213695,3.25,2.84
50-54 ans,189897,173814,2.42,2.31
55-59 ans,143651,125638,1.83,1.67
60-64 ans,116943,108359,1.49,1.44
65-69 ans,83967,70735,1.07,0.94
70-74 ans,54930,47402,0.7,0.63
75-79 ans,29826,25588,0.38,0.34
80-84 ans,14914,15048,0.19,0.2
85 ans et +,17253,20315,0.22,0.27
