tranche,hommes,femmes,pct_hommes,pct_femmes
00-04 ans,633018,617771,18.33,19.2
05-09 ans,542519,513573,15.71,15.96
10-14 ans,362403,314436,10.49,9.77
15-19 ans,300169,323810,8.69,10.06
20-24 ans,305913,296847,8.86,9.22
25-29 ans,291551,293513,8.44,9.12
30-34 ans,226651,217275,6.56,6.75
35-39 ans,201389,179003,5.83,5.56
40-44 ans,163015,130339,4.72,4.05
45-49 ans,132659,99454,3.84,3.09
50-54 ans,97392,74705,2.82,2.32
55-59 ans,72177,48291,2.09,1.5
60-64 ans,51479,40568,1.49,1.26
65-69 ans,30054,23172,0.87,0.72
70-74 ans,20727,19630,0.6,0.61
75-79 ans,8291,7725,0.24,0.24
80-84 ans,5872,7725,0.17,0.24
85 ans et +,8627,9973,0.25,0.31
